rank,uni_name,program,program_url,program_location,total_score,peer_assessment,emplm_rate_grad,emplm_rate_3_month_aft,avr_start_salary_bonus,avr_gre_quant,tuition,cohort_size
1,"Baruch College, City University of New York",Financial Engineering,https://www.quantnet.com/resources/baruch-college-financial-engineering-program.1/,"New York, NY",100,4.0,93%,100%,"$147,028",169.8,"$42,395 (non-resident) $28,670 (resident)","26 FT, 3 PT"
2,Carnegie Mellon University,Computational Finance,https://www.quantnet.com/resources/cmu-computational-finance-program.7/,"Pittsburgh, PA",95,4.1,77%,95%,"$127,546",169,"$89,151",89 FT
3,Princeton University,Master in Finance,https://www.quantnet.com/resources/princeton-university-master-in-finance-program.6/,"Princeton, NJ",94,3.8,92%,100%,"$126,496",168,"$112,940 (2 years)",20 FT
4,Columbia University,Financial Engineering,https://www.quantnet.com/resources/columbia-university-financial-engineering-program.5/,"New York, NY",91,3.8,69%,98%,"$120,248",169,"$79,056",85 FT
5,"University of California, Berkeley",Financial Engineering,https://www.quantnet.com/resources/uc-berkeley-financial-engineering-program.3/,"Berkeley, CA",88,4.1,70%,92%,"$124,401",169,"$75,108",96 FT
6,Cornell University,"MEng, FE concentration",https://www.quantnet.com/resources/cornell-university-financial-engineering-program.8/,"Ithaca, NY",85,3.6,58%,90%,"$120,960",168,"$87,879",27 FT
7,Columbia University,Mathematics of Finance,https://www.quantnet.com/resources/columbia-university-mathematics-of-finance-program.12/,"New York, NY",84,3.5,72%,96%,"$100,012",169.5,"$79,049","52 FT, 1 PT"
8,NYU Tandon School of Engineering,Financial Engineering,https://www.quantnet.com/resources/nyu-poly-financial-engineering-program.17/,"Brooklyn, NY",83,3.3,74%,86%,"$95,287",169,"$70,000 (2 years)","96 FT, 4 PT"
8,University of Chicago,Financial Mathematics,https://www.quantnet.com/resources/university-of-chicago-financial-mathematics-program.11/,"Chicago, IL",83,3.4,81%,93%,"$105,499",168.3,"$84,625","69 FT, 6 PT"
10,Georgia Institute of Technology,Quantitative and Computational Finance,https://www.quantnet.com/resources/georgia-institute-of-technology-quantitative-and-computational-finance-program.15/,"Atlanta, GA",80,2.8,68%,96%,"$102,430",168.8,"$61,260 (non-resident) $29,670 (resident)",34 FT
11,New York University,Mathematics in Finance,https://www.quantnet.com/resources/nyu-mathematics-of-finance-program.2/,"New York, NY",77,3.8,24%,48%,"$104,450",169,"$74,450","27 FT, 5 PT"
